Year,Month,Carbon_Intensity,CFE
2022,12,360.5199999999999,35.83831989247313
2022,3,347.3590725806449,35.82221774193547
2021,11,346.7285138888887,33.076680555555605
2022,10,335.78474462365574,39.167163978494635
2022,2,330.48989583333395,38.98059523809527
2024,5,158.2408870967739,68.98973118279568
2024,4,170.6708888888889,66.2539583333334
2024,6,171.9787916666667,65.48779166666665
2024,3,192.853870967742,60.91955645161291
2024,7,200.59599462365605,57.939099462365604
2024,5,158.2408870967739,68.98973118279568
2024,4,170.6708888888889,66.2539583333334
2024,6,171.9787916666667,65.48779166666665
2024,3,192.853870967742,60.91955645161291
2023,5,203.49448924731158,59.87700268817199
2021,11,346.7285138888887,33.076680555555605
2022,3,347.3590725806449,35.82221774193547
2022,12,360.5199999999999,35.83831989247313
2022,1,326.947876344086,36.60368279569894
2021,12,329.3035080645162,37.86881720430109
