Country,Cluster
Brazil,0
Finland,0
Kenya,0
Australia,1
Czechia,1
Poland,2
Argentina,3
Germany,3
Mexico,3
United Arab Emirates,3
Mainland India,4
Algeria,5
Japan,5
Kuwait,5
Qatar,5
China,6
Seychelles,6
Italy,7
Slovenia,7
Austria,8
Belgium,8
Great Britain,8
Spain,8
France,9
Norway,9
Sweden,9
Switzerland,9
Egypt,10
Ireland,10
USA,10
