Year,Month,Carbon_Intensity,CFE
2022,12,360.5199999999999,35.838319892473116
2022,3,347.35907258064503,35.822217741935475
2021,11,346.7285138888889,33.07668055555556
2022,10,335.78474462365597,39.167163978494635
2022,2,330.4898958333334,38.98059523809525
2024,5,158.2408870967742,68.98973118279572
2024,4,170.67088888888898,66.25395833333333
2024,6,171.9787916666667,65.48779166666665
2024,3,192.85387096774198,60.91955645161293
2024,7,200.59599462365574,57.93909946236563
2024,5,158.2408870967742,68.98973118279572
2024,4,170.67088888888898,66.25395833333333
2024,6,171.9787916666667,65.48779166666665
2024,3,192.85387096774198,60.91955645161293
2023,5,203.49448924731178,59.87700268817205
2021,11,346.7285138888889,33.07668055555556
2022,3,347.35907258064503,35.822217741935475
2022,12,360.5199999999999,35.838319892473116
2022,1,326.94787634408624,36.603682795698944
2021,12,329.3035080645162,37.86881720430106
